Text,Value,Question Id,Tags
"а) Когда же, наконец, будут приняты конкретные меры?",1,473,
б) Надо бы ввести телесные наказания,2,473,
в) Нельзя всё валить на молодежь виноваты и воспитатели,3,473,
а) Тигр или леопард,1,474,Жищник
б) Домашняя кошка,2,474,Кот
в) Медведь,3,474,Медвель
Да,1,304,
Нет,0,304,
Да,1,305,Любопытство
Нет,0,305,
Да,1,306,
Нет,0,306,
Да,1,307,
Нет,0,307,
Да,1,308,Интуиция
Нет,0,308,
Да,0,309,
Нет,1,309,
Да,1,310,
Нет,0,310,
Да,0,311,
Нет,1,311,
Да,1,312,
Нет,0,312,
Да,0,313,
Нет,1,313,Любопыттство
Да,1,314,
Нет,0,314,
Да,1,315,Фантазёр
Нет,0,315,
Да,0,316,
Нет,1,316,Интуиция
Да,1,317,
Нет,0,317,
Да,1,318,
Нет,0,318,
Да,1,319,
Нет,0,319,
Да,0,320,
Нет,1,320,
Да,1,321,
Нет,0,321,
Да,1,322,Редкое увлечение
Нет,0,322,
Да,1,323,
Нет,0,323,
Да,1,324,Интуиция
Нет,0,324,
Да,0,325,
Нет,1,325,
Да,1,326,
Нет,0,326,
Да,1,327,
Нет,0,327,
Да,1,328,
Нет,0,328,
Да,1,329,
Нет,0,329,
Да,0,330,
Нет,1,330,
Да,1,331,Мечтатель
Нет,0,331,
Да,0,332,
Нет,1,332,Интуиция
Да,1,333,
Нет,0,333,
Да,0,334,Комик
Нет,1,334,
Да,0,335,
Нет,1,335,
Да,1,336,Стратег
Нет,0,336,
Да,1,337,Исслеователь
Нет,0,337,
Да,1,338,
Нет,0,338,
Да,1,339,
Нет,0,339,
Да,1,340,
Нет,0,340,
Да,1,341,
Нет,0,341,
Да,1,342,Комик
Нет,0,342,
Да,1,343,
Нет,0,343,
Да,0,344,
Нет,1,344,
Да,1,345,Исследователь
Нет,0,345,
Да,1,346,
Нет,0,346,
Да,0,347,
Нет,1,347,
Да,1,348,
Нет,0,348,
Да,1,349,
Нет,0,349,
Да,1,350,Комик
Нет,0,350,
Да,1,351,Трудяга
Нет,0,351,
Да,1,352,
Нет,0,352,
Да,1,353,Исследователь
Нет,0,353,
Да,1,354,
Нет,0,354,
Да,1,355,Сказочник
Нет,0,355,
Да,1,356,
Нет,0,356,
Да,1,357,
Нет,0,357,
Да,0,358,
Нет,1,358,
Да,1,359,
Нет,0,359,
Да,1,360,
Нет,0,360,
Да,1,361,Любопытство
Нет,0,361,
Да,1,362,
Нет,0,362,
Да,1,363,Мечтатель
Нет,0,363,
Да,0,364,
Нет,1,364,
Да,1,365,
Нет,0,365,
Да,1,366,Остроумный
Нет,0,366,
Да,0,367,
Нет,1,367,
Да,1,368,
Нет,0,368,
Да,1,369,
Нет,0,369,
Да,0,370,
Нет,1,370,
Да,1,371,Поэт
Нет,0,371,
Да,0,372,
Нет,1,372,
Да,0,373,
Нет,1,373,
Да,0,374,
Нет,1,374,Комик
Да,1,375,
Нет,0,375,
Да,1,376,
Нет,0,376,
Да,1,377,
Нет,0,377,
Да,1,378,
Нет,0,378,
Да,0,379,
Нет,1,379,
Да,1,380,Интуиция
Нет,0,380,
Да,1,381,
Нет,0,381,
Да,1,382,
Нет,0,382,
Да,1,383,
Нет,0,383,
